id,label
0,0
1,1
2,1
3,0
4,0
5,1
6,0
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,0
15,0
16,1
17,0
18,1
19,0
20,1
21,1
22,0
23,1
24,1
25,1
26,1
27,0
28,0
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,1
43,1
44,0
45,0
46,1
47,0
48,1
49,1
50,0
51,1
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,0
77,1
78,1
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,1
88,0
89,0
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,0
112,1
113,0
114,1
115,1
116,0
117,1
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,0
162,1
163,1
164,0
165,0
166,1
167,0
168,1
169,0
170,1
171,1
172,1
173,0
174,1
175,0
176,1
177,1
178,1
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,0
191,0
192,0
193,0
194,1
195,1
196,1
197,0
198,0
199,0
200,1
201,1
202,1
203,1
204,0
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,0
213,1
214,0
215,0
216,1
217,0
218,0
219,0
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,1
244,0
245,1
246,1
247,1
248,1
249,0
250,0
251,1
252,1
253,1
254,0
255,0
256,0
257,1
258,0
259,0
260,1
261,1
262,0
263,1
264,1
265,1
266,0
267,1
268,0
269,1
270,0
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,0
279,0
280,1
281,0
282,1
283,1
284,1
285,0
286,1
287,0
288,1
289,0
290,1
291,0
292,1
293,0
294,0
295,0
296,0
297,1
298,1
299,1
300,0
301,1
302,0
303,1
304,0
305,0
306,1
307,1
308,1
309,1
310,1
311,0
312,0
313,0
314,0
315,0
316,1
317,1
318,1
319,0
320,1
321,0
322,1
323,1
324,0
325,1
326,0
327,0
328,1
329,1
330,0
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,0
339,1
340,0
341,1
342,0
343,1
344,1
345,0
346,0
347,0
348,0
349,1
350,0
351,1
352,0
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,0
361,1
362,0
363,1
364,0
365,0
366,1
367,1
368,0
369,0
370,1
371,1
372,1
373,1
374,1
375,0
376,1
377,0
378,1
379,1
380,0
381,0
382,1
383,0
384,1
385,1
386,1
387,1
388,0
389,0
390,1
391,1
392,0
393,0
394,1
395,1
396,1
397,0
398,0
399,1
400,1
401,1
402,1
403,0
404,1
405,0
406,1
407,0
408,1
409,1
410,1
411,0
412,1
413,1
414,0
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,0
423,1
424,1
425,1
426,0
427,0
428,1
429,1
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,0
444,1
445,0
446,0
447,1
448,1
449,0
450,1
451,0
452,1
453,1
454,0
455,1
456,1
457,0
458,0
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,1
467,1
468,0
469,0
470,0
471,1
472,0
473,1
474,0
475,1
476,1
477,0
478,1
479,0
480,1
481,1
482,0
483,1
484,1
485,1
486,1
487,0
488,1
489,0
490,0
491,1
492,1
493,0
494,1
495,0
496,0
497,1
498,0
499,1
500,1
501,0
502,0
503,0
504,0
505,0
506,0
507,1
508,1
509,1
510,0
511,1
512,1
513,1
514,1
515,0
516,0
517,1
518,1
519,1
520,0
521,0
522,1
523,1
524,1
525,0
526,0
527,1
528,1
529,1
530,0
531,0
532,1
533,0
534,0
535,0
536,1
537,1
538,1
539,0
540,0
541,0
542,1
543,0
544,1
545,1
546,0
547,0
548,1
549,1
550,0
551,1
552,1
553,1
554,0
555,0
556,1
557,1
558,1
559,0
560,0
561,1
562,1
563,0
564,0
565,1
566,0
567,1
568,0
569,1
570,0
571,1
572,0
573,1
574,0
575,0
576,0
577,0
578,1
579,1
580,0
581,1
582,0
583,1
584,0
585,0
586,1
587,1
588,1
589,0
590,1
591,0
592,1
593,1
594,1
595,1
596,0
597,0
598,0
599,1
600,1
601,0
602,0
603,1
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,1
612,0
613,1
614,1
615,0
616,0
617,0
618,1
619,1
620,1
621,0
622,1
623,1
624,0
625,0
626,0
627,1
628,1
629,1
630,1
631,1
632,0
633,0
634,0
635,1
636,0
637,1
638,1
639,1
640,0
641,1
642,0
643,1
644,1
645,0
646,1
647,1
648,0
649,0
650,0
651,1
652,1
653,1
654,1
655,1
656,0
657,0
658,1
659,1
660,1
661,0
662,0
663,1
664,0
665,1
666,1
667,0
668,1
669,1
670,0
671,1
672,1
673,0
674,1
675,1
676,0
677,0
678,1
679,1
680,1
681,1
682,1
683,1
684,0
685,0
686,0
687,0
688,1
689,1
690,1
691,0
692,1
693,1
694,1
695,1
696,0
697,0
698,0
699,1
700,1
701,0
702,1
703,1
704,1
705,0
706,1
707,1
708,0
709,1
710,1
711,0
712,0
713,0
714,1
715,1
716,0
717,0
718,1
719,1
720,0
721,1
722,1
723,1
724,1
725,1
726,1
727,0
728,1
729,1
730,0
731,0
732,0
733,0
734,1
735,1
736,1
737,1
738,0
739,0
740,1
741,1
742,0
743,0
744,0
745,1
746,1
747,0
748,0
749,1
750,1
751,1
752,0
753,0
754,1
755,0
756,0
757,1
758,0
759,1
760,0
761,1
762,1
763,0
764,1
765,0
766,0
767,0
768,1
769,0
770,1
771,1
772,1
773,0
774,1
775,0
776,1
777,0
778,1
779,0
780,0
781,0
782,0
783,1
784,1
785,0
786,0
787,1
788,1
789,0
790,0
791,0
792,0
793,1
794,1
795,0
796,0
797,1
798,1
799,0
800,1
801,1
802,1
803,1
804,1
805,1
806,0
807,0
808,1
809,0
810,1
811,0
812,1
813,1
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,1
822,1
823,1
824,0
825,0
826,1
827,1
828,0
829,1
830,0
831,0
832,0
833,1
834,1
835,0
836,0
837,1
838,1
839,0
840,1
841,1
842,1
843,1
844,1
845,0
846,1
847,0
848,1
849,1
850,0
851,1
852,1
853,1
854,1
855,0
856,1
857,1
858,1
859,0
860,0
861,1
862,0
863,1
864,1
865,1
866,1
867,1
868,0
869,0
870,1
871,1
872,1
873,0
874,0
875,0
876,1
877,1
878,1
879,1
880,0
881,1
882,0
883,1
884,0
885,1
886,1
887,0
888,0
889,1
890,0
891,1
892,0
893,0
894,1
895,1
896,1
897,1
898,0
899,0
900,0
901,1
902,1
903,1
904,1
905,0
906,1
907,0
908,1
909,1
910,0
911,0
912,1
913,1
914,1
915,0
916,1
917,1
918,0
919,0
920,1
921,0
922,1
923,0
924,1
925,0
926,0
927,1
928,0
929,0
930,1
931,1
932,1
933,1
934,1
935,0
936,1
937,0
938,1
939,1
940,1
941,0
942,1
943,1
944,1
945,0
946,0
947,0
948,1
949,1
950,0
951,1
952,1
953,1
954,1
955,0
956,1
957,1
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,1
967,1
968,0
969,1
970,0
971,0
972,1
973,1
974,0
975,0
976,1
977,1
978,1
979,0
980,1
981,1
982,0
983,0
984,0
985,1
986,0
987,0
988,1
989,0
990,0
991,0
992,1
993,0
994,1
995,1
996,1
997,1
998,1
999,0
1000,0
1001,0
1002,0
1003,1
1004,1
1005,0
1006,1
1007,1
1008,0
1009,0
1010,0
1011,1
1012,0
1013,0
1014,1
1015,0
1016,1
1017,0
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,0
1025,0
1026,0
1027,0
1028,1
1029,1
1030,1
1031,1
1032,1
1033,0
1034,1
1035,0
1036,1
1037,1
1038,0
1039,0
1040,0
1041,1
1042,1
1043,0
1044,0
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,0
1052,1
1053,0
1054,0
1055,0
1056,0
1057,0
1058,1
1059,1
1060,1
